<s>,START 1.0
पुलिसकर्मी,N_NN 6.702712364270074e-05
जबरन,JJ 0.0006433350488934637
कटवाए,N_NN 2.2342374547566916e-05
बालदाढ़ी,N_NN 2.2342374547566916e-05
दिए,N_NN 0.00011171187273783457
जांच,N_NN 0.00039099155458242104
अगवा,V_VM 9.760858955588091e-05
गैंगरेप,V_VAUX 7.393715341959335e-05
सिर,V_VAUX 7.393715341959335e-05
पॉलिथिन,N_NN 1.1171187273783458e-05
कार्ति,N_NN 2.2342374547566916e-05
आवास,N_NN 0.00014522543455918496
खाली,N_NN 4.468474909513383e-05
कानून,V_VAUX 0.00022181146025878004
2018,QT_QTC 0.002812374447569305
गाड़ी,N_NN 8.936949819026766e-05
बनाकर,V_VM 0.0003416300634455832
विस्फोट,N_NN 7.819831091648421e-05
38,QT_QTC 0.0008035355564483728
आतंकवादी,N_NN 6.702712364270074e-05
घुसपैठ,N_NN 0.00012288306001161803
नाकाम,N_NN 3.351356182135037e-05
गैरहाज़िर,N_NN 2.2342374547566916e-05
रहकर,V_VM 0.00039043435822352365
विपक्षी,JJ 0.001029336078229542
कराने,V_VM 0.000634455832113226
मदद...,N_NN 2.2342374547566916e-05
मदद?,N_NN 2.2342374547566916e-05
प्रेशर,N_NN 2.2342374547566916e-05
चपेट,N_NN 2.2342374547566916e-05
आने,V_VM 0.004685212298682284
सीआरपीएफ,N_NN 1.1171187273783458e-05
नवादा,N_NN 1.1171187273783458e-05
जिले,N_NN 0.00024576612002323605
निवासी,N_NN 0.00014522543455918496
सत्ता,N_NN 0.00020108137092810223
कर्नाटक,N_NN 0.00013405424728540148
‘टीपू,V_VAUX 0.0001478743068391867
जयंती’,N_NN 2.2342374547566916e-05
अन्ना,N_NN 2.2342374547566916e-05
हजारे,N_NN 2.2342374547566916e-05
सामने,N_NN 8.936949819026766e-05
राजनीति:,N_NN 2.2342374547566916e-05
बागी,N_NN 8.936949819026766e-05
विधायकों,N_NN 8.936949819026766e-05
निष्कासित,RB 0.0022002200220022
24,QT_QTC 0.0036159100040176776
आरोप,V_VAUX 0.0001478743068391867
बहाने,N_NN 6.702712364270074e-05
कहर,N_NN 7.819831091648421e-05
130,QT_QTC 0.0012053033346725592
घट,V_VM 0.00039043435822352365
स्तर,N_NN 0.0005027034273202556
ग्रुप,N_NN 7.819831091648421e-05
डी,N_NN 0.00011171187273783457
परीक्षा,N_NN 0.00036864918003485413
आवेदनों,N_NN 2.2342374547566916e-05
गलत,JJ 0.0024446731857951623
तरीके,N_NN 0.00043567630367755486
अस्वीकार,N_NN 2.2342374547566916e-05
उम्मीदवारों,N_NN 0.00016756780910675187
दूसरा,QT_QTO 0.1130952380952381
मौका,N_NN 0.00027927968184458644
दिल्ली:,N_NN 4.468474909513383e-05
जूनियर,N_NN 2.2342374547566916e-05
डॉक्टर,N_NN 0.0006814424237007909
खुदकुशी,N_NN 3.351356182135037e-05
सफदरगंज,N_NN 2.2342374547566916e-05
पीजी,N_NN 3.351356182135037e-05
उन्हीं,N_NN 0.00014522543455918496
भारी,V_VAUX 7.393715341959335e-05
गरीबों,N_NN 0.0002122525582018857
तोहफा,N_NN 3.351356182135037e-05
नान,N_NN 1.1171187273783458e-05
दाम,N_NN 0.00012288306001161803
हुक्म,N_NN 0.00011171187273783457
जज,N_NN 0.00010054068546405112
नदारद,N_NN 2.2342374547566916e-05
लंबित,N_NN 2.2342374547566916e-05
माफियाओं,N_NN 1.1171187273783458e-05
जान,N_NN 0.0005697305509629563
वीजी,N_NN 6.702712364270074e-05
गिरा,V_VM 0.0006832601268911664
सीसीडी,N_NN 3.351356182135037e-05
डिलिवरी,N_NN 1.1171187273783458e-05
निकला,N_NN 3.351356182135037e-05
कस्टमर,N_NN 5.5855936368917286e-05
कैंसल,N_NN 1.1171187273783458e-05
ऑर्डर,V_VAUX 7.393715341959335e-05
बोला,V_VAUX 7.393715341959335e-05
किसी,JJ 0.0002573340195573855
हिंदू,N_NN 0.00015639662183296842
भेजो,V_VM 4.8804294777940456e-05
मिला,V_VAUX 0.0001478743068391867
त्रिवेदी,N_NN 1.1171187273783458e-05
पूछते,V_VM 0.0008296730112249878
सैफ,N_NN 0.00013405424728540148
खोली,V_VM 4.8804294777940456e-05
जुबान,V_VAUX 7.393715341959335e-05
किये,V_VM 0.001268911664226452
कठोर,N_NN 6.702712364270074e-05
हमले,N_NN 0.0004803610527726887
फिराक,N_NN 5.5855936368917286e-05
एजेंसियां,N_NN 2.2342374547566916e-05
टाइगर,N_NN 0.00012288306001161803
स्टेट,N_NN 6.702712364270074e-05
हासिल,V_VM 0.0004880429477794046
करने,V_VAUX 0.00199630314232902
सप्ताह,N_NN 0.0002122525582018857
बाघों,N_NN 0.00013405424728540148
गैरमौजूदगी,N_NN 2.2342374547566916e-05
ब्लेमगेम,N_NN 2.2342374547566916e-05
शुरू,V_VM 0.001171303074670571
मध्यN,_NST 0.0045662100456621
200,N_NN 3.351356182135037e-05
पौधे,N_NN 0.00018991018365431878
सजा,JJ 0.0002573340195573855
160,QT_QTC 0.0008035355564483728
सहीसलामत,N_NN 2.2342374547566916e-05
बचे,V_VM 0.00019521717911176182
रखना,V_VM 0.0009760858955588092
,N_NN 0.00034630680548728717
‘दीदी,N_NN 2.2342374547566916e-05
बोलो’,N_NN 2.2342374547566916e-05
कैंपेन,N_NN 4.468474909513383e-05
रिस्पांस,N_NN 2.2342374547566916e-05
अखिलेश,N_NN 7.819831091648421e-05
जब,JJ 0.001544004117344313
स्कूली,JJ 0.0002573340195573855
छात्रा,N_NN 3.351356182135037e-05
बोलती,JJ 0.000514668039114771
सीटें,N_NN 5.5855936368917286e-05
आवंटित,N_NN 2.2342374547566916e-05
पंक्ति,N_NN 5.5855936368917286e-05
दूसरी,QT_QTO 0.1488095238095238
बैठेंगे,V_VM 9.760858955588091e-05
चेन्नई,N_NN 6.702712364270074e-05
सर्जरी,N_NN 5.5855936368917286e-05
निकाले,N_NN 5.5855936368917286e-05
526,QT_QTC 0.0008035355564483728
दांत,N_NN 4.468474909513383e-05
आईएएस,N_NN 2.2342374547566916e-05
क्यों,DM_DMQ 0.16666666666666666
करते,V_VM 0.011566617862371889
शीर्षासन,JJ 0.0002573340195573855
रोचक,N_NN 2.2342374547566916e-05
बांधवगढ़,N_NN 2.2342374547566916e-05
रिसर्व,N_NN 2.2342374547566916e-05
बाघिन,N_NN 5.5855936368917286e-05
शावक,N_NN 2.2342374547566916e-05
हड़कंप,V_VAUX 0.0001478743068391867
गुरुग्राम:,N_NN 2.2342374547566916e-05
खेल,N_NN 0.00039099155458242104
सीवर,N_NN 2.2342374547566916e-05
लाइन,N_NN 0.00013405424728540148
गिरी,V_VM 0.00029282576866764275
संरक्षण,N_NN 0.00016756780910675187
बुलेट,N_NN 7.819831091648421e-05
डिपो,N_NN 6.702712364270074e-05
जलाशय,N_NN 2.2342374547566916e-05
बनाएगा,V_VM 9.760858955588091e-05
दुर्घटना,N_NN 7.819831091648421e-05
सीबीआई,N_NN 4.468474909513383e-05
सौंपी,V_VM 0.00014641288433382137
आम्रपाली,N_NN 2.2342374547566916e-05
शीर्ष,N_NN 7.819831091648421e-05
फर्जी,N_NN 5.5855936368917286e-05
कंपनियां,N_NN 6.702712364270074e-05
बनाई,V_VM 0.00107369448511469
किताबों,N_NN 0.00010054068546405112
इल्जाम,N_NN 2.2342374547566916e-05
लगा,N_NN 5.5855936368917286e-05
छापा;,N_NN 2.2342374547566916e-05
जयललिता,N_NN 2.2342374547566916e-05
भतीजी,N_NN 2.2342374547566916e-05
दीपा,N_NN 3.351356182135037e-05
सन्यास,N_NN 7.819831091648421e-05
धोखा,N_NN 7.819831091648421e-05
हूं,N_NN 0.00027927968184458644
इंदौर,N_NN 3.351356182135037e-05
सबब,N_NN 2.2342374547566916e-05
देता,V_VM 0.0014153245485602733
सिम,N_NN 2.2342374547566916e-05
शेफ,N_NN 2.2342374547566916e-05
सबके,QT_QTF 0.005747126436781609
गिराया,V_VM 0.00019521717911176182
बकरा,N_NN 1.1171187273783458e-05
पकाया,V_VM 4.8804294777940456e-05
शपथ,N_NN 0.00016756780910675187
येदियुरप्पा,N_NN 5.5855936368917286e-05
टीपू,V_VAUX 0.0001478743068391867
हरियाली,N_NN 0.00012288306001161803
तीज,N_NN 5.5855936368917286e-05
मनाए,V_VM 9.760858955588091e-05
पर्व,N_NN 3.351356182135037e-05
हैप्पीनेस,N_NN 2.2342374547566916e-05
प्रोग्राम,N_NN 5.5855936368917286e-05
खुश,N_NN 0.00023459493274945262
मुकदमे,N_NN 2.2342374547566916e-05
वापसी,N_NN 5.5855936368917286e-05
मेकर्स,N_NN 3.351356182135037e-05
क्लीनिक,N_NN 1.1171187273783458e-05
नर्स,JJ 0.00012866700977869275
पीछेN,_NST 0.0015220700152207
आया,V_VM 0.004441190824792582
गला,V_VAUX 7.393715341959335e-05
गली,N_NN 8.936949819026766e-05
पत्र,V_VAUX 0.0001478743068391867
प्लीज,N_NN 3.351356182135037e-05
कॉलोनी,N_NN 4.468474909513383e-05
बदल,V_VM 0.0015617374328940946
दें,V_VAUX 0.0014048059149722736
खालिस्तान,N_NN 4.468474909513383e-05
समर्थक,N_NN 7.819831091648421e-05
मनजिंदर,N_NN 3.351356182135037e-05
सिरसा,N_NN 0.00012288306001161803
सफाई,V_VAUX 0.0002957486136783734
जबरदस्ती,N_NN 6.702712364270074e-05
शायरी,N_NN 4.468474909513383e-05
तलाक़,N_NN 2.2342374547566916e-05
हो,N_NN 0.0006814424237007909
अंग्रेज,JJ 0.00012866700977869275
मूल,N_NN 0.00027927968184458644
रिसर्च,N_NN 0.00015639662183296842
मुश्किलें,N_NN 0.00011171187273783457
विधायक,JJ 0.00038600102933607824
बांग्लादेश,N_NN 0.00032396443093972026
55,QT_QTC 0.0016070711128967456
हजार,N_NN 0.0008378390455337593
मीट्रिक,N_NN 1.1171187273783458e-05
टन,N_NN 5.5855936368917286e-05
प्लास्टिक,N_NN 0.00018991018365431878
कचरा,N_NN 5.5855936368917286e-05
मतदाताओं,N_NN 0.00010054068546405112
धमकाने,V_VM 9.760858955588091e-05
प्लेन,N_NN 5.5855936368917286e-05
सामान,N_NN 0.0002904508691183699
केबिन,N_NN 3.351356182135037e-05
खोलते,V_VM 0.0003416300634455832
लेटी,V_VM 0.0002440214738897023
मिली,V_VAUX 7.393715341959335e-05
होस्टेस,N_NN 3.351356182135037e-05
उड़े,N_NN 2.2342374547566916e-05
होश,N_NN 7.819831091648421e-05
स्टूडेंट्स,N_NN 3.351356182135037e-05
सर्वश्रेष्ठ,JJ 0.0009006690684508493
शहर,N_NN 0.000927208543724027
लंदन,N_NN 7.819831091648421e-05
लीपापोती,N_NN 2.2342374547566916e-05
मजबूती,N_NN 8.936949819026766e-05
फिल्‍म,N_NN 1.1171187273783458e-05
अवतार,N_NN 0.00017873899638053532
विवादित,N_NN 5.5855936368917286e-05
देकर,V_VM 0.001268911664226452
बुरे,JJ 0.0014153371075656203
क्लास,N_NN 0.00015639662183296842
दरों,N_NN 4.468474909513383e-05
फिक्स,N_NN 3.351356182135037e-05
घटाए,V_VM 9.760858955588091e-05
गए;,N_NN 2.2342374547566916e-05
जानिए,N_NN 0.00012288306001161803
आपके,PR_PRP 0.01421608448415922
असर,N_NN 0.00045801867822512177
व्हेल,N_NN 1.1171187273783458e-05
शिकंजे,N_NN 1.1171187273783458e-05
समुद्री,N_NN 5.5855936368917286e-05
दुर्लभ,JJ 0.000514668039114771
ठेकेदार,N_NN 3.351356182135037e-05
ऑडियो,N_NN 2.2342374547566916e-05
नोटिस,N_NN 0.00015639662183296842
जगन्नाथ,N_NN 1.1171187273783458e-05
पान,N_NN 0.00011171187273783457
तंबाकू,N_NN 1.1171187273783458e-05
प्रतिबंध,N_NN 8.936949819026766e-05
करनेवालों,N_NN 2.2342374547566916e-05
पंजाबी,N_NN 6.702712364270074e-05
रंधावा,N_NN 3.351356182135037e-05
हमला,V_VAUX 7.393715341959335e-05
कनाडा,N_NN 6.702712364270074e-05
घटना,N_NN 0.0007596407346172751
क्रिकेटर,N_NN 3.351356182135037e-05
बनेंगे,N_NN 1.1171187273783458e-05
शामिया,N_NN 1.1171187273783458e-05
आरजू,N_NN 1.1171187273783458e-05
बैठे,V_VAUX 0.0002957486136783734
जनता,N_NN 0.0005920729255105233
भर,RP_RPD 0.0066298342541436465
हड़ताल,N_NN 0.00020108137092810223
आपात,N_NN 2.2342374547566916e-05
देंगे,V_VM 0.0003416300634455832
हॉलीवुड,N_NN 7.819831091648421e-05
देन,N_NN 2.2342374547566916e-05
मजाक,N_NN 0.00018991018365431878
करिश्मा,N_NN 7.819831091648421e-05
रोमांस,N_NN 3.351356182135037e-05
चाचा,N_NN 5.5855936368917286e-05
शामिल,N_NN 0.0007708119218910585
पैरोल,N_NN 2.2342374547566916e-05
दत्त,N_NN 1.1171187273783458e-05
बॉयफ्रेंड,N_NN 1.1171187273783458e-05
इमोशनल,N_NN 0.00011171187273783457
देखेगा,N_NN 1.1171187273783458e-05
पेटिंग्स,N_NN 2.2342374547566916e-05
‘‘वीरता,N_NN 1.1171187273783458e-05
साहस’’,N_NN 1.1171187273783458e-05
ट्रैक,N_NN 7.819831091648421e-05
एनसीपी,N_NN 2.2342374547566916e-05
इस्तीफा,V_VAUX 0.0001478743068391867
यूनिवर्सिटी,N_NN 0.00017873899638053532
कोर्स,N_NN 3.351356182135037e-05
शामिल,V_VM 0.00043923865300146415
होगी,V_VAUX 0.0011829944547134936
मोहित,N_NN 1.1171187273783458e-05
अबरोल,N_NN 1.1171187273783458e-05
इंस्टाग्राम,N_NN 0.00013405424728540148
हैक,V_VAUX 7.393715341959335e-05
मानसी,N_NN 1.1171187273783458e-05
बदनाम,N_NN 3.351356182135037e-05
हंगामा10,N_NN 2.2342374547566916e-05
प्वाइंट,N_NN 6.702712364270074e-05
किस,PR_PRQ 0.05238095238095238
जाह्नवी,N_NN 1.1171187273783458e-05
कपूरईशान,N_NN 1.1171187273783458e-05
खट्टर,N_NN 0.00018991018365431878
डेटिंग,N_NN 1.1171187273783458e-05
बोनी,N_NN 1.1171187273783458e-05
फ्रेंडशिप,N_NN 2.2342374547566916e-05
चलाई,V_VM 4.8804294777940456e-05
अरबों,N_NN 3.351356182135037e-05
डॉलर,N_NN 0.00031279324366593683
रिश्वत,N_NN 4.468474909513383e-05
कांवड़,N_NN 2.2342374547566916e-05
सच,N_NN 0.0004245051164037714
भक्ति,N_NN 0.00015639662183296842
चरसगांजे,N_NN 2.2342374547566916e-05
लीन,V_VM 0.00014641288433382137
हिप्पी,N_NN 1.1171187273783458e-05
दो,N_NN 0.00031279324366593683
शूटिंग,N_NN 0.00040216274185620447
थे,N_NN 0.0015974797801510344
वाल्डो,N_NN 1.1171187273783458e-05
जेठजेठानी,N_NN 1.1171187273783458e-05
पाकिस्तान:,N_NN 1.1171187273783458e-05
रावलपिंडी,N_NN 1.1171187273783458e-05
17,QT_QTC 0.002008838891120932
127,QT_QTC 0.0008035355564483728
सुध,N_NN 3.351356182135037e-05
जाना,V_VM 0.001903367496339678
हाल,N_NN 0.0006032441127843067
जोर,N_NN 8.936949819026766e-05
पकड़ा,N_NN 5.5855936368917286e-05
जुड़ाव,N_NN 4.468474909513383e-05
लगा,V_VM 0.004734016593460224
लग्जरी,N_NN 3.351356182135037e-05
रिसॉर्ट,N_NN 1.1171187273783458e-05
पैतृक,N_NN 3.351356182135037e-05
बिजली,V_VAUX 0.0001478743068391867
आपूर्ति,N_NN 6.702712364270074e-05
रोके,V_VM 0.00019521717911176182
पारी,N_NN 2.2342374547566916e-05
सक्रिय,JJ 0.001029336078229542
लौटेंगे,V_VM 9.760858955588091e-05
नाईक,N_NN 2.2342374547566916e-05
किस,N_NN 0.00014522543455918496
व्हिप,N_NN 4.468474909513383e-05
बलिया:,N_NN 2.2342374547566916e-05
अपहरण,N_NN 3.351356182135037e-05
मुकदमा,N_NN 4.468474909513383e-05
13,QT_QTC 0.0036159100040176776
जिलों,N_NN 4.468474909513383e-05
88,QT_QTC 0.0012053033346725592
प्रभावित,N_NN 0.00034630680548728717
मस्जिदों,N_NN 2.2342374547566916e-05
विवरण,N_NN 5.5855936368917286e-05
मांगा,N_NN 0.00012288306001161803
गया,N_NN 0.00020108137092810223
पारा,N_NN 3.351356182135037e-05
चढ़ा,V_VM 0.00019521717911176182
जुड़े,N_NN 0.00011171187273783457
बोली,N_NN 0.00041333392912998795
कांग्रेस:,N_NN 2.2342374547566916e-05
अमेठी,N_NN 7.819831091648421e-05
रिटायर्ड,N_NN 4.468474909513383e-05
कैप्टन,N_NN 6.702712364270074e-05
पीटकर,N_NN 2.2342374547566916e-05
परिजनों,N_NN 4.468474909513383e-05
दिलाया,V_VM 0.0003416300634455832
संभव,N_NN 0.0002904508691183699
भरोसा,N_NN 0.00012288306001161803
इस्लामी,N_NN 3.351356182135037e-05
इसकी,P 0.002369668246445498
मिसाल,N_NN 3.351356182135037e-05
जवानों,N_NN 0.00022342374547566914
भेजे,V_VM 0.0005856515373352855
सिर्फ,N_NN 6.702712364270074e-05
हजारों,QT_QTC 0.0012053033346725592
स्कूलों,N_NN 7.819831091648421e-05
इन्हें,N_NN 0.00017873899638053532
डिस्कवरी,N_NN 7.819831091648421e-05
चैनल,N_NN 0.00020108137092810223
कार्यक्रम,N_NN 0.00032396443093972026
सार्वजनिक,N_NN 7.819831091648421e-05
आदिवासियों,N_NN 5.5855936368917286e-05
साहूकारों,N_NN 5.5855936368917286e-05
कौन,PR_PRQ 0.06190476190476191
जिनका,P 0.004739336492890996
दौड़,N_NN 0.00015639662183296842
जब्त,N_NN 0.00014522543455918496
ताजा,JJ 0.0006433350488934637
तस्वीर:,N_NN 1.1171187273783458e-05
कटीली,JJ 0.00012866700977869275
तारबंदी,N_NN 1.1171187273783458e-05
चप्पेचप्पे,N_NN 1.1171187273783458e-05
सुरक्षाकर्मी,N_NN 4.468474909513383e-05
अजीब,JJ 0.0014153371075656203
सा,N_NN 5.5855936368917286e-05
सन्नाटा,N_NN 4.468474909513383e-05
बगहा,N_NN 1.1171187273783458e-05
युवती,N_NN 8.936949819026766e-05
तेजाब,N_NN 1.1171187273783458e-05
फेंककर,V_VM 4.8804294777940456e-05
न्यायपालिका,N_NN 2.2342374547566916e-05
आरक्षण,N_NN 0.00014522543455918496
उठने,V_VM 0.00043923865300146415
हट,N_NN 2.2342374547566916e-05
गई,V_VM 0.0015617374328940946
हो,V_VAUX 0.011460258780036968
लेकिन,CC_CCS 0.05259562841530055
खरीदने,V_VM 0.00043923865300146415
फंस,V_VM 0.0002440214738897023
पेंच,N_NN 2.2342374547566916e-05
केरल,N_NN 0.00011171187273783457
रेड,N_NN 3.351356182135037e-05
कोच्चि,N_NN 3.351356182135037e-05
भरने,V_VM 0.0003416300634455832
उड़ानें,V_VM 4.8804294777940456e-05
विकास,N_NN 0.0009830644800929442
जिम्मेदारी,N_NN 0.00016756780910675187
सांबा,N_NN 1.1171187273783458e-05
शुक्रवार,N_NN 0.00017873899638053532
दोबारा,N_NN 0.00011171187273783457
खुलेंगे,V_VM 4.8804294777940456e-05
स्कूलकॉलेज,N_NN 2.2342374547566916e-05
रेल,N_NN 2.2342374547566916e-05
शेख,N_NN 7.819831091648421e-05
राशिद,N_NN 1.1171187273783458e-05
समाजवादी,N_NN 3.351356182135037e-05
बेदखली,N_NN 1.1171187273783458e-05
मामलों,N_NN 0.00018991018365431878
राज्यों,N_NN 0.0002904508691183699
लताड़ा,V_VM 4.8804294777940456e-05
फैसलों,N_NN 4.468474909513383e-05
अश्विनी,N_NN 1.1171187273783458e-05
विशाल,JJ 0.003474009264024704
भवन,N_NN 8.936949819026766e-05
सर्वाधिक,QT_QTF 0.0009578544061302681
आकर्षक,JJ 0.0016726711271230056
बने,V_VM 0.0022938018545632017
वीके,N_NN 1.1171187273783458e-05
50,QT_QTC 0.002008838891120932
गौरवशाली,N_NN 1.1171187273783458e-05
चलती,JJ 0.0002573340195573855
लूट,N_NN 4.468474909513383e-05
मांबेटी,N_NN 3.351356182135037e-05
बदमाशों,N_NN 3.351356182135037e-05
नीचेN,_NST 0.0015220700152207
फेंका,N_NN 1.1171187273783458e-05
जहरीले,JJ 0.00038600102933607824
सांप,N_NN 0.00013405424728540148
भिड़,V_VM 4.8804294777940456e-05
वफादार,N_NN 2.2342374547566916e-05
कुत्ता,N_NN 3.351356182135037e-05
गंवा,V_VM 4.8804294777940456e-05
बचाई,N_NN 1.1171187273783458e-05
भीड़,N_NN 0.00014522543455918496
बेरहमी,N_NN 6.702712364270074e-05
पीटा,N_NN 5.5855936368917286e-05
तीसरा,QT_QTC 0.0016070711128967456
समर्थन,JJ 0.00012866700977869275
इसकी,DM_DMD 0.009327115256495669
बयान,V_VAUX 7.393715341959335e-05
आग,V_VAUX 0.0001478743068391867
11,QT_QTC 0.004821213338690237
मामला:,N_NN 4.468474909513383e-05
एयरलिफ्ट,N_NN 1.1171187273783458e-05
इजाजत,N_NN 6.702712364270074e-05
जासूसी,N_NN 2.2342374547566916e-05
मांगी,V_VM 0.0005856515373352855
उनको,V_VM 4.8804294777940456e-05
मिलिंद,N_NN 1.1171187273783458e-05
देवड़ा,N_NN 1.1171187273783458e-05
सचिन,N_NN 4.468474909513383e-05
ज्योतिरादित्य,N_NN 1.1171187273783458e-05
सिंधिया,N_NN 2.2342374547566916e-05
पैरवी,N_NN 2.2342374547566916e-05
वायनाड,N_NN 2.2342374547566916e-05
स्थानीय,JJ 0.003088008234688626
ठनी,N_NN 1.1171187273783458e-05
दुष्कर्म,JJ 0.0006433350488934637
निमोनिया,N_NN 1.1171187273783458e-05
परेशानी,N_NN 0.00013405424728540148
तीखा,JJ 0.00012866700977869275
हमला,N_NN 0.00023459493274945262
डीजीसीए,N_NN 2.2342374547566916e-05
कंपनियों,N_NN 0.00018991018365431878
सरकारी,JJ 0.002058672156459084
चपरासी,N_NN 0.00020108137092810223
टीम,N_NN 0.0009495509182715939
घोंपकर,N_NN 1.1171187273783458e-05
घरेलू,JJ 0.000514668039114771
1486,QT_QTC 0.0004017677782241864
पुराने,JJ 0.0033453422542460112
कानूनों,N_NN 2.2342374547566916e-05
समाप्त,N_NN 0.00022342374547566914
तूफान,N_NN 5.5855936368917286e-05
परमवीर,N_NN 1.1171187273783458e-05
चक्र,N_NN 8.936949819026766e-05
विजेता,N_NN 6.702712364270074e-05
वीर,N_NN 5.5855936368917286e-05
अब्दुल,N_NN 6.702712364270074e-05
हमीद,N_NN 1.1171187273783458e-05
रसूलन,N_NN 1.1171187273783458e-05
बीबी,N_NN 4.468474909513383e-05
कपिल,N_NN 6.702712364270074e-05
मिश्रा,N_NN 0.00012288306001161803
अयोग्य,JJ 0.00038600102933607824
उठी,V_VM 0.0007320644216691069
मांग,V_VAUX 7.393715341959335e-05
चंद,QT_QTF 0.0009578544061302681
भाईबहन,N_NN 4.468474909513383e-05
डंसने,N_NN 1.1171187273783458e-05
डंसे,V_VM 4.8804294777940456e-05
तुरंत,RB 0.007150715071507151
अपनाएं,PR_PRF 0.002257336343115124
उपाय,N_NN 7.819831091648421e-05
कांग्रेसएनसीपी,N_NN 1.1171187273783458e-05
देगी,N_NN 7.819831091648421e-05
वंचित,N_NN 3.351356182135037e-05
बहुजन,N_NN 1.1171187273783458e-05
आघाडी,N_NN 1.1171187273783458e-05
कागजात,N_NN 2.2342374547566916e-05
कोस्ट,N_NN 3.351356182135037e-05
गार्ड,N_NN 4.468474909513383e-05
पाकुड़,N_NN 1.1171187273783458e-05
तस्करी,N_NN 4.468474909513383e-05
दर्जनों,QT_QTF 0.0038314176245210726
मवेशी,N_NN 1.1171187273783458e-05
चाहें,V_VM 0.00014641288433382137
पीड़ित,N_NN 2.2342374547566916e-05
लिखी,V_VM 0.0009272816007808687
सीजेआई,N_NN 1.1171187273783458e-05
निकालेगा,V_VM 4.8804294777940456e-05
मार्च,N_NN 0.00031279324366593683
नारा,N_NN 4.468474909513383e-05
ईवीएम,N_NN 1.1171187273783458e-05
छोड़ो,V_VM 4.8804294777940456e-05
गोलाबारी,N_NN 2.2342374547566916e-05
जवाबी,N_NN 1.1171187273783458e-05
सैनिक,N_NN 0.00013405424728540148
चुनावी,JJ 0.0038600102933607824
युद्ध,N_NN 0.0004915322400464721
पर,N_NN 0.00022342374547566914
कामयाबी,N_NN 0.00012288306001161803
व,CC_CCD 0.009226401703335699
सहयोगी,JJ 0.00038600102933607824
वॉकआउट,N_NN 2.2342374547566916e-05
कमजोर,JJ 0.0021873391662377765
मॉनसून,N_NN 2.2342374547566916e-05
खरीफ,N_NN 1.1171187273783458e-05
फसलों,N_NN 2.2342374547566916e-05
रकबे,N_NN 1.1171187273783458e-05
4740,QT_QTC 0.0004017677782241864
हेक्टेयर,N_NN 1.1171187273783458e-05
गिरावट,N_NN 0.00016756780910675187
देर,N_NN 0.0007596407346172751
श्रम,N_NN 5.5855936368917286e-05
अपराध,N_NN 0.00015639662183296842
है...,N_NN 1.1171187273783458e-05
है?,N_NN 1.1171187273783458e-05
हंगामा,N_NN 0.00030162205639215335
कार्यकर्ता,N_NN 0.00025693730729701953
बरामद,V_VAUX 7.393715341959335e-05
जुटी,V_VM 4.8804294777940456e-05
गैंगरेप,N_NN 1.1171187273783458e-05
धरने,V_VM 4.8804294777940456e-05
पर,V_VAUX 7.393715341959335e-05
पेरोल,N_NN 1.1171187273783458e-05
कहते,V_VAUX 7.393715341959335e-05
रहना,V_VM 0.000634455832113226
दो,V_VAUX 0.0007393715341959334
गाजियाबाद,N_NN 3.351356182135037e-05
डीएम,N_NN 1.1171187273783458e-05
एसएसपी,N_NN 2.2342374547566916e-05
हेलिकॉप्टर,N_NN 1.1171187273783458e-05
कांवड़ियों,N_NN 2.2342374547566916e-05
बरसाए,V_VM 4.8804294777940456e-05
फूल,N_NN 0.00015639662183296842
समर्थन,N_NN 0.0005250458018678225
99,QT_QTC 0.0004017677782241864
84,QT_QTC 0.0012053033346725592
फंदे,N_NN 1.1171187273783458e-05
बच्चियों,N_NN 1.1171187273783458e-05
मौजूदा,JJ 0.00038600102933607824
शशि,N_NN 1.1171187273783458e-05
थरूर,N_NN 2.2342374547566916e-05
असंतोष,JJ 0.00012866700977869275
स्पष्टता,N_NN 2.2342374547566916e-05
पड़,V_VM 0.0011224987798926305
राजद,N_NN 0.0004468474909513383
जदयू,N_NN 0.0004468474909513383
पलायन,N_NN 5.5855936368917286e-05
लालू,N_NN 0.00035747799276107065
सारण:,N_NN 1.1171187273783458e-05
तालाब,N_NN 3.351356182135037e-05
नहाने,V_VM 9.760858955588091e-05
डूबने,V_VM 4.8804294777940456e-05
योगी,JJ 0.00012866700977869275
अदा,N_NN 0.00010054068546405112
परहेज,N_NN 1.1171187273783458e-05
पर्सनल,N_NN 4.468474909513383e-05
लॉ,N_NN 1.1171187273783458e-05
बोर्ड,N_NN 6.702712364270074e-05
ओमकार,N_NN 1.1171187273783458e-05
मरकाम,N_NN 1.1171187273783458e-05
डिंडोरी,N_NN 1.1171187273783458e-05
मासूमों,N_NN 1.1171187273783458e-05
करनी,V_VM 0.0009272816007808687
पड़ती,V_VAUX 0.0005175600739371534
उफनती,V_VM 9.760858955588091e-05
नाटक,N_NN 0.00016756780910675187
जारी:,N_NN 1.1171187273783458e-05
स्पीकर,N_NN 5.5855936368917286e-05
करार,N_NN 0.00011171187273783457
आतंकी,JJ 0.0006433350488934637
रची,N_NN 2.2342374547566916e-05
सिपाही,N_NN 5.5855936368917286e-05
वर्दी,N_NN 5.5855936368917286e-05
उतरवाने,V_VM 4.8804294777940456e-05
साइड,N_NN 2.2342374547566916e-05
गाय,N_NN 4.468474909513383e-05
हिन्दू,N_NN 0.00024576612002323605
